ZNF91	ARID5B
AA861608	TNFSF12
ACTR10	GTF2H5
ADSS	CASP8
AF131844	TIMM8A
ANKMY2	DDX47
ARFIP2	EAPP
ASXL1	DHX32
BLZF1	GFI1
C19orf66	PTPN7
C9orf116	ZNF45
CA14	MTF1
CASK	DUX1
CBL	AL110223
CCK	MFAP1
CHTOP	SET
CLNS1A	TIMM13
CNIH3	PCDHA6
CNOT1	GALR2
COX8A	ATP6V1F
CPSF1	MRS2
CPT1A	KLRK1
CYSLTR2	BICC1
DCTN2	TRNAU1AP
DDX49	VKORC1
DENND1A	PLA2G4A	SEMA7A
DGCR11	MYOM2
DHFR	C1orf95
DLG1	FAM193A
DNM1	PRSS16	TRIM68
DNMT3L	CD5L
DPH5	FRMD8
DUSP7	TNS3
DYRK4	MAF
E2F2	HIST1H2BJ
EFR3B	KIAA0586
EMC6	CSRP2
EP400	CALR
EPB41L4B	LARS
ERC2	GFM1
FAM86C1	DKK4	PDCD5
FAT4	IQSEC2
FGF21	WDR13
FRK	KIAA1456
GATA2	PDIA5
GATA6	ADIRF
GDF10	TRPM3	SMURF1
GGCT	ME2
GRB14	PPP1R26
GSAP	PSMA2
HCG9	DBT
HEPH	C1orf56
HESX1	FUT5
HMGCS1	GAREM
HMOX2	SLC6A14
HNRNPA3P1	FLJ21369
HOOK2	POLM
HPN	HPGDS
HTN1	PLA2G3
HTR3B	PLCB2
IGLV3-19	AF052160
INSR	FCGBP
KDM5D	DDX3Y	RPS4Y1
LAIR2	SERPINF1
LCN2	LTF
LILRA3	LOC100287275
LINC00623	TP53BP2
LOC100510546	C1R	MRPL44
LSM14B	KRT1
LYPLA1	MOB4
MADCAM1	CLUAP1
MCM5	TACR3
MPG	PSMC4
MREG	NREP
MRPS10	GTPBP4
MS4A4A	ZNF358
MTMR14	CRELD2
NETO2	BAZ2B
NFE2	USP10
NINJ2	WNT8B
NIPAL3	SNED1
NLRP2	TK1	METTL8
NPC2	FAIM	UQCR10
PADI3	ABCF3
PARP8	FPR2
PBX3	FLII
PCYOX1	SP2	GABRB2
PHKG1	KLHL20
PLEKHA8P1	LATS1
PNN	MC5R	SERF2
POLR2F	PTPN11
PPP2R1B	RAB3D
PRELP	LEPR
PRPF4	FPGS
PSEN1	RXRA
PSMD13	SLC3A1
PTCH1	GZMB
PTPN22	TMEM50B
PTPRN2	ANKRD17
RANBP17	ANKS1B
SART3	SYNE1
SCYL3	NKX3-1
SENP3	FIS1
SERPINB5	POU5F1P3	FOLR3	STARD5
SETD2	DNAJC7
SF3B2	SYNE1
SIGMAR1	MTHFSD
SKA1	INHBA
SLC5A4	PPY2
SLC6A5	FAM153A
SMAGP	ERICH1
SMYD3	MAP7D1
SNRPB	SNRNP70
SNX29P2	AW972765
SP1	CST4
SPAG5	RPS6KA1
SPICE1	VPS26A
SPINK1	NUP54
SPINT2	DTX2
SPTLC2	ESRP1
SRF	SPAG4
ST8SIA3	LSM3
STX17	GPR107
TCL1A	IGHM
TGDS	VTN
TMC7	CRYBB1
TMEM248	C17orf85
TRAF6	PVRL2
TRMT61B	EIF3H
TUBB4B	MOCS2
UTP14C	TSC2
VEGFA	MKNK2
VPS45	NKIRAS2
YTHDF1	RLN2
ZNF423	SEMG1
ZNF484	SPEN
ZNF576	CLDND1
ZNF580	NES
ZNF702P	CSNK2A2
ZNF780A	CHRM3
SEC31B	RPL23
GABARAPL2	STAU1
PPM1G	RPS6KC1
DCTD	CYP19A1
TPO	NCAPH
TRAF3	NBEA
WWC1	ATP5E
HAND1	SLC1A1
HIPK3	MGAT4B
DEPDC5	KCNE1L
UBE2H	GPX1
WDR45	GUK1
ZNF821	CACNA1B
LOC100505584	IL37	MT1X	MT1H	MT2A	FAM193B	MT1HL1	UGT2B28
CNN1	PDPN
TMEM255A	SH3BP4	MOG
COMP	DIO1
SERPINB4	CDC42EP4
ID2B	ICK	PDGFD
AL133075	GNRHR
FZD9	FAM53B
PPARA	SHQ1
IPO5	FABP5
APOBEC3G	SLC25A15
YIPF6	BRD4
CRISP3	MEOX1
BAG1	TESC
IDH3G	IL18RAP	LRRC37A4P
LRRC2	CYP7A1
PTTG2	SLC19A1
SYK	ILK
TSC22D1	MAP3K7CL
AL162044	PRR5-ARHGAP8
GCSHP5	PTTG2
AV651668	MAP2K5	ZXDB
PRDX2	SERF2	PNN
ASCC2	SLC7A5
RAD23A	WWC1	UBE2H
AKR1C3	EIF2S3
ARNT	TMEM41B
CISD1	PRPF4
PIM1	ODC1
DNASE1L1	FLNB
ZC3H15	OARD1
TIMM44	ICT1
MARCH8	XPO7
VAMP5	GABRA3
ERP44	LANCL2
SEMA3D	NUP188
POU2F2	MARC2	TWIST1
ABCC10	ZDHHC6
ABR	APOO	MECP2
ACTG1	FBXL12
AL133099	OR10H3
ATP5D	UPP1
AW450929	CHD1L
BAIAP3	NDUFA9
BSN	AKR7A3
C19orf73	AF354444
CBWD7	RCBTB1
CD27	ABLIM1
CES1P1	MYO3A
CIZ1	SLC25A21
CLOCK	MFSD5
CPLX3	PVALB
CPQ	ALPL
CPVL	HLA-DRB5	HLA-DRB4
CRYGA	SPATA31A5
CTLA4	BSCL2
CYHR1	ADRBK2
DEFA4	BPI	DEFA1B	CAMP	LTF	CEACAM8
DERL1	RFPL1
ENOSF1	FOXB1
FAM206A	ZNF512B	AK024584
FAM49A	UBR2
FASLG	ACACA
FRMD1	RET
FSCN1	SLC50A1
GBF1	CXCL5
GMEB1	SCML1
GPX7	COQ7
IL7R	OSBPL8	ZNF148
IPO9	ZNF391
ITPR1	VPREB3
KAT5	TP53I3
KCND3	SPRR1B
KIR3DL3	SYN1
LOC100130331	REN
LOC100510047	BG251521	FBXO11
LSR	PPP1R12A	PPL
MAGEB2	PNLIPRP2
MPHOSPH10	C4orf46
MS4A6A	UBE2G1
MYD88	DYSF
NAT9	BBS10
NDUFB3	PTTG3P
NME7	FAM182B
NMI	HCAR3
OTC	MICALL2
PAF1	PHF21A
PART1	DHCR7
PIK3R3	TCL6
RBP3	RNF123
S100A1	NR1I3
SDHC	KIR3DL2
SERHL2	C8A
