ZFP30	MEX3C
207730_x_at	217579_x_at
217115_at	GCOM1
220494_s_at	TCERG1
AB051438	SDS
ABI3BP	UBAP1
AF035278	HIST1H2AG
AIFM1	NIT2
AK025271	DLEU1
ALDH9A1	TTI2
ALLC	ZNF446
ARHGAP4	CRMP1
AV652328	NR2C1
BDH2	LATS1
CACNB2	HIST1H4B
CCND1	KCNJ12
CD101	SAP30BP
CD248	CDH4
CD5L	GRAP
CDH7	AF070625
CDK5RAP2	WDR6
CFAP45	DIO2
CFD	AMPD2
CHD4	MYO1F
COPA	EPB41L3
DIAPH2	HOXA10
DLST	AF078844
EIF4EBP2	GID8
ENG	RNPEPL1
EXOC7	LIG4
EXOSC2	SRPX2
FCGR1C	FCGR1B
G0S2	TGM3
GCNT2	CARD14
GFOD2	KLHL23
GPN2	LOC284244
GRB14	SIAH1
GRIA3	217647_at
INTS12	ZKSCAN4
KCTD17	PRDM9
KRT35	OLFM1
LILRA5	ZNF43
LINC00963	207478_at
LPAR3	STAG3L4
MRPS2	HLA-DQB1
MTMR4	GNL3L
NCS1	PRRC1
NEFM	CHRNA9
NME1	TRIAP1
NOD2	NXPE3
PAMR1	WWOX
PERP	SLC4A10
PIEZO1	CLK2
PRG4	LOC100293561
PSMC1	IFI35
PSPH	ZNF208
PTPN3	FAM105A
RAB1B	SDHC
RGP1	CCR7
RPS6KA3	AF052109
RSRC1	NPHP1
SERHL2	UGT1A7
SERPINB2	LOC100127972
SETD2	ELL
SETD3	SMR3A
SLC16A7	NR1H4
SNX19	POM121C
TAF5L	VPS72
TBC1D16	CFHR4
TBL2	NDUFS2
TCFL5	MAP7D3
TRANK1	MARK1
TRAV8-3	TLK2
TRIM36	ADNP2
TSSC1	TMEM223
TTC33	KAT2B
UBE2M	ARHGEF6
USF2	CLDN17
WNT3	RNF32
IGJ	TXNDC5
ZCCHC2	HERC5	IFI44	OASL	MX1	OAS3	ISG15	IFIT3
IFI44L	IFI6	IFI44	OASL	MX1	ISG15	IFIT3	OAS3	HERC5
LSM6	GPR171
XCL1	ASRGL1
BABAM1	SLC6A10P
NFE2L1	C21orf33
GNAQ	NLGN3
C9orf78	NUDT4
TRAK2	TBC1D19
IGKV1OR2-108	216822_x_at
DDX3Y	AL049280	KDM5D	RPS4Y1
ABLIM3	PDLIM1
ARHGAP26	PSEN1
AU157200	HHIPL2
CACNG3	PC
CCDC59	LZTFL1
COPS7B	CDYL
CRYBA1	SETD8
CYP26A1	205764_at
EVC	PARD6B
FAM86C1	ABHD8
HIST1H4E	RBMS2
IFT140	SLC28A1
IMP3	LSM7
LSM8	SPECC1L
MBOAT2	VCX2
MKNK1	S100A12
NISCH	AAR2
NLE1	FOXF2
OGDHL	CELSR1
PEX11B	COPZ1
POM121L9P	MID1
PRDM4	KIF13B
RSU1	TUBB1
SLC25A15	ATF3
SNRPA1	OLFM1
TOP3B	MAP4K1
TRMT112	ACAT1
UBFD1	HRSP12
WDR13	DCTN3
ZEB1	UBE2J1
MARK3	FAM134A
ODC1	PIM1
CHI3L1	PPP1R12B
CHPT1	SNAPC3
MAST3	TRADD
MARCH8	CTSB
UQCRH	207916_at
LYRM4	PCDH9
JUNB	CEP83
ASGR2	PSMB7
